w,sp,ep_r,RX_Probe.Height,RX_Probe.Width,RO_Probe.Height,RO_Probe.Width,TX_Probe.Height,TX_Probe.Width
5.14286,11.0714,4.82859,0.485,8.3E-11,0.485,8.3E-11,0.294,9.65E-11
5,11.0714,4.82859,0.482,8.3E-11,0.482,8.3E-11,0.289,9.65E-11
7,10.71426,4.82859,0.593,8.3E-11,0.593,8.3E-11,0.293,9.6E-11
6.85718,10.71426,4.82859,0.52,8.3E-11,0.52,8.3E-11,0.353,9.65E-11
6.71432,10.71426,4.82859,0.59,8.3E-11,0.59,8.3E-11,0.283,9.6E-11
6.57146,10.71426,4.82859,0.515,8.3E-11,0.515,8.3E-11,0.345,9.65E-11
6.4286,10.71426,4.82859,0.513,8.3E-11,0.513,8.3E-11,0.342,9.65E-11
6.28574,10.71426,4.82859,0.51,8.4E-11,0.51,8.4E-11,0.338,9.65E-11
6.14288,10.71426,4.82859,0.508,8.4E-11,0.508,8.4E-11,0.334,9.65E-11
6.00002,10.71426,4.82859,0.505,8.35E-11,0.505,8.35E-11,0.331,9.65E-11
5.85716,10.71426,4.82859,0.503,8.35E-11,0.503,8.35E-11,0.326,9.65E-11
5.7143,10.71426,4.82859,0.5,8.3E-11,0.5,8.3E-11,0.322,9.65E-11
5.57144,10.71426,4.82859,0.496,8.3E-11,0.496,8.3E-11,0.313,9.65E-11
5.42858,10.71426,4.82859,0.493,8.35E-11,0.493,8.35E-11,0.307,9.65E-11
5.28572,10.71426,4.82859,0.489,8.3E-11,0.489,8.3E-11,0.304,9.65E-11
5.14286,10.71426,4.82859,0.487,8.3E-11,0.487,8.3E-11,0.296,9.65E-11
5,10.71426,4.82859,0.482,8.35E-11,0.482,8.35E-11,0.295,9.65E-11
7,10.35712,4.82859,0.596,8.2E-11,0.596,8.2E-11,0.298,9.6E-11
6.85718,10.35712,4.82859,0.594,8.2E-11,0.594,8.2E-11,0.29,9.6E-11
6.71432,10.35712,4.82859,0.52,8.4E-11,0.52,8.4E-11,0.355,9.65E-11
6.57146,10.35712,4.82859,0.59,8.2E-11,0.59,8.2E-11,0.281,9.6E-11
6.4286,10.35712,4.82859,0.514,8.4E-11,0.514,8.4E-11,0.347,9.65E-11
6.28574,10.35712,4.82859,0.586,8.3E-11,0.586,8.3E-11,0.273,9.6E-11
6.14288,10.35712,4.82859,0.51,8.3E-11,0.51,8.3E-11,0.339,9.65E-11
6.00002,10.35712,4.82859,0.582,8.3E-11,0.582,8.3E-11,0.26,9.6E-11
5.85716,10.35712,4.82859,0.504,8.4E-11,0.504,8.4E-11,0.329,9.65E-11
5.7143,10.35712,4.82859,0.501,8.4E-11,0.501,8.4E-11,0.324,9.65E-11
5.57144,10.35712,4.82859,0.496,8.3E-11,0.496,8.3E-11,0.315,9.65E-11
5.42858,10.35712,4.82859,0.495,8.3E-11,0.495,8.3E-11,0.313,9.65E-11
5.28572,10.35712,4.82859,0.49,8.4E-11,0.49,8.4E-11,0.308,9.65E-11
5.14286,10.35712,4.82859,0.487,8.3E-11,0.487,8.3E-11,0.303,9.65E-11
5,10.35712,4.82859,0.483,8.3E-11,0.483,8.3E-11,0.299,9.65E-11
7,9.99998,4.82859,0.525,8.45E-11,0.525,8.45E-11,0.366,9.65E-11
6.85718,9.99998,4.82859,0.596,8.3E-11,0.596,8.3E-11,0.295,9.6E-11
6.71432,9.99998,4.82859,0.52,8.4E-11,0.52,8.4E-11,0.36,9.65E-11
6.57146,9.99998,4.82859,0.592,8.3E-11,0.592,8.3E-11,0.285,9.6E-11
6.4286,9.99998,4.82859,0.514,8.4E-11,0.514,8.4E-11,0.352,9.65E-11
6.28574,9.99998,4.82859,0.587,8.3E-11,0.587,8.3E-11,0.272,9.6E-11
6.14288,9.99998,4.82859,0.511,8.4E-11,0.511,8.4E-11,0.344,9.65E-11
6.00002,9.99998,4.82859,0.507,8.4E-11,0.507,8.4E-11,0.336,9.65E-11
5.85716,9.99998,4.82859,0.505,8.3E-11,0.505,8.3E-11,0.329,9.65E-11
5.7143,9.99998,4.82859,0.502,8.35E-11,0.502,8.35E-11,0.326,9.65E-11
5.57144,9.99998,4.82859,0.498,8.4E-11,0.498,8.4E-11,0.32,9.65E-11
5.42858,9.99998,4.82859,0.494,8.4E-11,0.494,8.4E-11,0.315,9.65E-11
5.28572,9.99998,4.82859,0.492,8.4E-11,0.492,8.4E-11,0.315,9.65E-11
5.14286,9.99998,4.82859,0.487,8.4E-11,0.487,8.4E-11,0.311,9.65E-11
5,9.99998,4.82859,0.483,8.4E-11,0.483,8.4E-11,0.308,9.65E-11
7,9.64284,4.82859,0.528,8.4E-11,0.528,8.4E-11,0.371,9.65E-11
6.85718,9.64284,4.82859,0.598,8.3E-11,0.598,8.3E-11,0.3,9.6E-11
6.71432,9.64284,4.82859,0.52,8.4E-11,0.52,8.4E-11,0.364,9.65E-11
6.57146,9.64284,4.82859,0.52,8.4E-11,0.52,8.4E-11,0.362,9.65E-11
6.4286,9.64284,4.82859,0.517,8.5E-11,0.517,8.5E-11,0.355,9.65E-11
6.28574,9.64284,4.82859,0.514,8.5E-11,0.514,8.5E-11,0.348,9.65E-11
6.14288,9.64284,4.82859,0.511,8.4E-11,0.511,8.4E-11,0.345,9.65E-11
6.00002,9.64284,4.82859,0.507,8.4E-11,0.507,8.4E-11,0.339,9.65E-11
5.85716,9.64284,4.82859,0.505,8.4E-11,0.505,8.4E-11,0.334,9.65E-11
5.7143,9.64284,4.82859,0.501,8.45E-11,0.501,8.45E-11,0.329,9.65E-11
5.57144,9.64284,4.82859,0.499,8.4E-11,0.499,8.4E-11,0.326,9.65E-11
5.42858,9.64284,4.82859,0.494,8.4E-11,0.494,8.4E-11,0.324,9.65E-11
5.28572,9.64284,4.82859,0.491,8.4E-11,0.491,8.4E-11,0.321,9.65E-11
5.14286,9.64284,4.82859,0.488,8.45E-11,0.488,8.45E-11,0.318,9.65E-11
5,9.64284,4.82859,0.484,8.4E-11,0.484,8.4E-11,0.317,9.65E-11
7,9.2857,4.82859,0.603,8.4E-11,0.603,8.4E-11,0.308,9.65E-11
6.85718,9.2857,4.82859,0.525,8.4E-11,0.525,8.4E-11,0.371,9.65E-11
6.71432,9.2857,4.82859,0.599,8.4E-11,0.599,8.4E-11,0.296,9.65E-11
6.57146,9.2857,4.82859,0.52,8.5E-11,0.52,8.5E-11,0.362,9.65E-11
6.4286,9.2857,4.82859,0.593,8.4E-11,0.593,8.4E-11,0.278,9.65E-11
6.28574,9.2857,4.82859,0.513,8.4E-11,0.513,8.4E-11,0.35,9.65E-11
6.14288,9.2857,4.82859,0.586,8.35E-11,0.586,8.35E-11,0.264,9.65E-11
6.00002,9.2857,4.82859,0.508,8.5E-11,0.508,8.5E-11,0.344,9.65E-11
5.85716,9.2857,4.82859,0.505,8.45E-11,0.505,8.45E-11,0.339,9.65E-11
5.7143,9.2857,4.82859,0.502,8.4E-11,0.502,8.4E-11,0.337,9.65E-11
5.57144,9.2857,4.82859,0.497,8.5E-11,0.497,8.5E-11,0.334,9.7E-11
5.42858,9.2857,4.82859,0.495,8.5E-11,0.495,8.5E-11,0.33,9.7E-11
5.28572,9.2857,4.82859,0.491,8.45E-11,0.491,8.45E-11,0.33,9.7E-11
5.14286,9.2857,4.82859,0.488,8.5E-11,0.488,8.5E-11,0.33,9.7E-11
5,9.2857,4.82859,0.484,8.4E-11,0.484,8.4E-11,0.327,9.7E-11
7,8.92856,4.82859,0.603,8.4E-11,0.603,8.4E-11,0.311,9.65E-11
6.85718,8.92856,4.82859,0.524,8.5E-11,0.524,8.5E-11,0.377,9.65E-11
6.71432,8.92856,4.82859,0.599,8.4E-11,0.599,8.4E-11,0.295,9.65E-11
6.57146,8.92856,4.82859,0.519,8.45E-11,0.519,8.45E-11,0.364,9.65E-11
6.4286,8.92856,4.82859,0.593,8.4E-11,0.593,8.4E-11,0.279,9.65E-11
6.28574,8.92856,4.82859,0.514,8.45E-11,0.514,8.45E-11,0.355,9.7E-11
6.14288,8.92856,4.82859,0.51,8.5E-11,0.51,8.5E-11,0.351,9.7E-11
6.00002,8.92856,4.82859,0.507,8.5E-11,0.507,8.5E-11,0.349,9.7E-11
5.85716,8.92856,4.82859,0.505,8.5E-11,0.505,8.5E-11,0.348,9.7E-11
5.7143,8.92856,4.82859,0.501,8.5E-11,0.501,8.5E-11,0.343,9.7E-11
5.57144,8.92856,4.82859,0.498,8.55E-11,0.498,8.55E-11,0.345,9.7E-11
5.42858,8.92856,4.82859,0.494,8.5E-11,0.494,8.5E-11,0.34,9.7E-11
5.28572,8.92856,4.82859,0.492,8.5E-11,0.492,8.5E-11,0.339,9.7E-11
5.14286,8.92856,4.82859,0.488,8.45E-11,0.488,8.45E-11,0.341,9.7E-11
5,8.92856,4.82859,0.484,8.5E-11,0.484,8.5E-11,0.343,9.7E-11
7,8.57142,4.82859,0.605,8.45E-11,0.605,8.45E-11,0.313,9.65E-11
6.85718,8.57142,4.82859,0.525,8.5E-11,0.525,8.5E-11,0.375,9.7E-11
6.71432,8.57142,4.82859,0.6,8.4E-11,0.6,8.4E-11,0.3,9.65E-11
6.57146,8.57142,4.82859,0.52,8.5E-11,0.52,8.5E-11,0.365,9.7E-11
6.4286,8.57142,4.82859,0.516,8.5E-11,0.516,8.5E-11,0.362,9.7E-11
6.28574,8.57142,4.82859,0.514,8.6E-11,0.514,8.6E-11,0.361,9.7E-11
6.14288,8.57142,4.82859,0.511,8.6E-11,0.511,8.6E-11,0.361,9.7E-11
6.00002,8.57142,4.82859,0.507,8.5E-11,0.507,8.5E-11,0.358,9.7E-11
5.85716,8.57142,4.82859,0.505,8.5E-11,0.505,8.5E-11,0.354,9.7E-11
5.7143,8.57142,4.82859,0.501,8.5E-11,0.501,8.5E-11,0.356,9.7E-11
5.57144,8.57142,4.82859,0.498,8.55E-11,0.498,8.55E-11,0.352,9.75E-11
5.42858,8.57142,4.82859,0.495,8.5E-11,0.495,8.5E-11,0.351,9.75E-11
5.28572,8.57142,4.82859,0.492,8.5E-11,0.492,8.5E-11,0.357,9.8E-11
5.14286,8.57142,4.82859,0.488,8.6E-11,0.488,8.6E-11,0.356,9.75E-11
5,8.57142,4.82859,0.484,8.5E-11,0.484,8.5E-11,0.36,9.7E-11
7,8.21428,4.82859,0.528,8.5E-11,0.528,8.5E-11,0.383,9.7E-11
6.85718,8.21428,4.82859,0.601,8.4E-11,0.601,8.4E-11,0.313,9.65E-11
6.71432,8.21428,4.82859,0.523,8.5E-11,0.523,8.5E-11,0.374,9.7E-11
6.57146,8.21428,4.82859,0.598,8.5E-11,0.598,8.5E-11,0.302,9.65E-11
6.4286,8.21428,4.82859,0.517,8.5E-11,0.517,8.5E-11,0.371,9.8E-11
6.28574,8.21428,4.82859,0.512,8.5E-11,0.512,8.5E-11,0.369,9.8E-11
6.14288,8.21428,4.82859,0.511,8.5E-11,0.511,8.5E-11,0.369,9.8E-11
6.00002,8.21428,4.82859,0.508,8.6E-11,0.508,8.6E-11,0.367,9.8E-11
5.85716,8.21428,4.82859,0.503,8.55E-11,0.503,8.55E-11,0.367,9.8E-11
5.7143,8.21428,4.82859,0.502,8.5E-11,0.502,8.5E-11,0.365,9.8E-11
5.57144,8.21428,4.82859,0.498,8.55E-11,0.498,8.55E-11,0.366,9.8E-11
5.42858,8.21428,4.82859,0.494,8.6E-11,0.494,8.6E-11,0.369,9.8E-11
5.28572,8.21428,4.82859,0.491,8.5E-11,0.491,8.5E-11,0.37,9.8E-11
5.14286,8.21428,4.82859,0.487,8.5E-11,0.487,8.5E-11,0.371,9.8E-11
5,8.21428,4.82859,0.483,8.55E-11,0.483,8.55E-11,0.375,9.8E-11
7,7.85714,4.82859,0.526,8.6E-11,0.526,8.6E-11,0.385,9.8E-11
6.85718,7.85714,4.82859,0.602,8.5E-11,0.602,8.5E-11,0.321,9.65E-11
6.71432,7.85714,4.82859,0.521,8.6E-11,0.521,8.6E-11,0.383,9.8E-11
6.57146,7.85714,4.82859,0.596,8.45E-11,0.596,8.45E-11,0.309,9.7E-11
6.4286,7.85714,4.82859,0.515,8.5E-11,0.515,8.5E-11,0.381,9.8E-11
6.28574,7.85714,4.82859,0.512,8.55E-11,0.512,8.55E-11,0.379,9.8E-11
6.14288,7.85714,4.82859,0.509,8.6E-11,0.509,8.6E-11,0.38,9.8E-11
6.00002,7.85714,4.82859,0.508,8.6E-11,0.508,8.6E-11,0.38,9.8E-11
5.85716,7.85714,4.82859,0.504,8.6E-11,0.504,8.6E-11,0.379,9.8E-11
5.7143,7.85714,4.82859,0.501,8.55E-11,0.501,8.55E-11,0.381,9.8E-11
5.57144,7.85714,4.82859,0.497,8.55E-11,0.497,8.55E-11,0.382,9.8E-11
5.42858,7.85714,4.82859,0.495,8.6E-11,0.495,8.6E-11,0.384,9.8E-11
5.28572,7.85714,4.82859,0.49,8.6E-11,0.49,8.6E-11,0.388,9.8E-11
5.14286,7.85714,4.82859,0.486,8.55E-11,0.486,8.55E-11,0.392,9.8E-11
5,7.85714,4.82859,0.483,8.6E-11,0.483,8.6E-11,0.396,9.8E-11
7,7.5,4.82859,0.526,8.6E-11,0.526,8.6E-11,0.39,9.8E-11
6.85718,7.5,4.82859,0.602,8.45E-11,0.602,8.45E-11,0.328,9.7E-11
6.71432,7.5,4.82859,0.52,8.6E-11,0.52,8.6E-11,0.392,9.8E-11
6.57146,7.5,4.82859,0.518,8.6E-11,0.518,8.6E-11,0.392,9.8E-11
6.4286,7.5,4.82859,0.515,8.6E-11,0.515,8.6E-11,0.394,9.8E-11
6.28574,7.5,4.82859,0.512,8.55E-11,0.512,8.55E-11,0.392,9.8E-11
6.14288,7.5,4.82859,0.509,8.6E-11,0.509,8.6E-11,0.393,9.8E-11
6.00002,7.5,4.82859,0.506,8.6E-11,0.506,8.6E-11,0.392,9.8E-11
5.85716,7.5,4.82859,0.503,8.6E-11,0.503,8.6E-11,0.396,9.8E-11
5.7143,7.5,4.82859,0.499,8.6E-11,0.499,8.6E-11,0.399,9.8E-11
5.57144,7.5,4.82859,0.496,8.6E-11,0.496,8.6E-11,0.398,9.8E-11
5.42858,7.5,4.82859,0.493,8.6E-11,0.493,8.6E-11,0.404,9.8E-11
5.28572,7.5,4.82859,0.489,8.6E-11,0.489,8.6E-11,0.407,9.8E-11
5.14286,7.5,4.82859,0.485,8.55E-11,0.485,8.55E-11,0.411,9.8E-11
5,7.5,4.82859,0.482,8.6E-11,0.482,8.6E-11,0.415,9.8E-11
7,12.5,4.75716,0.514,8.2E-11,0.514,8.2E-11,0.312,9.6E-11
6.85718,12.5,4.75716,0.51,8.2E-11,0.51,8.2E-11,0.308,9.6E-11
6.71432,12.5,4.75716,0.508,8.2E-11,0.508,8.2E-11,0.304,9.6E-11
6.57146,12.5,4.75716,0.505,8.2E-11,0.505,8.2E-11,0.3,9.6E-11
6.4286,12.5,4.75716,0.502,8.2E-11,0.502,8.2E-11,0.298,9.6E-11
6.28574,12.5,4.75716,0.5,8.2E-11,0.5,8.2E-11,0.295,9.6E-11
6.14288,12.5,4.75716,0.497,8.15E-11,0.497,8.15E-11,0.289,9.6E-11
6.00002,12.5,4.75716,0.496,8.1E-11,0.496,8.1E-11,0.286,9.6E-11
5.85716,12.5,4.75716,0.493,8.15E-11,0.493,8.15E-11,0.283,9.6E-11
5.7143,12.5,4.75716,0.489,8.2E-11,0.489,8.2E-11,0.279,9.6E-11
5.57144,12.5,4.75716,0.487,8.2E-11,0.487,8.2E-11,0.274,9.6E-11
5.42858,12.5,4.75716,0.483,8.2E-11,0.483,8.2E-11,0.267,9.6E-11
5.28572,12.5,4.75716,0.478,8.15E-11,0.478,8.15E-11,0.26,9.6E-11
5.14286,12.5,4.75716,0.475,8.2E-11,0.475,8.2E-11,0.254,9.6E-11
5,12.5,4.75716,0.473,8.2E-11,0.473,8.2E-11,0.251,9.6E-11
7,12.14282,4.75716,0.515,8.3E-11,0.515,8.3E-11,0.317,9.6E-11
6.85718,12.14282,4.75716,0.513,8.3E-11,0.513,8.3E-11,0.315,9.6E-11
6.71432,12.14282,4.75716,0.512,8.25E-11,0.512,8.25E-11,0.308,9.6E-11
6.57146,12.14282,4.75716,0.508,8.25E-11,0.508,8.25E-11,0.306,9.6E-11
6.4286,12.14282,4.75716,0.506,8.25E-11,0.506,8.25E-11,0.302,9.6E-11
6.28574,12.14282,4.75716,0.503,8.25E-11,0.503,8.25E-11,0.298,9.6E-11
6.14288,12.14282,4.75716,0.499,8.25E-11,0.499,8.25E-11,0.296,9.6E-11
6.00002,12.14282,4.75716,0.496,8.2E-11,0.496,8.2E-11,0.292,9.6E-11
5.85716,12.14282,4.75716,0.493,8.2E-11,0.493,8.2E-11,0.287,9.6E-11
5.7143,12.14282,4.75716,0.492,8.2E-11,0.492,8.2E-11,0.282,9.6E-11
5.57144,12.14282,4.75716,0.487,8.2E-11,0.487,8.2E-11,0.275,9.6E-11
5.42858,12.14282,4.75716,0.486,8.25E-11,0.486,8.25E-11,0.269,9.6E-11
5.28572,12.14282,4.75716,0.481,8.2E-11,0.481,8.2E-11,0.264,9.6E-11
5.14286,12.14282,4.75716,0.546,8.15E-11,0.546,8.15E-11,0.175,9.6E-11
5,12.14282,4.75716,0.474,8.3E-11,0.474,8.3E-11,0.255,9.6E-11
7,11.78568,4.75716,0.516,8.3E-11,0.516,8.3E-11,0.319,9.6E-11
6.85718,11.78568,4.75716,0.514,8.3E-11,0.514,8.3E-11,0.316,9.65E-11
6.71432,11.78568,4.75716,0.512,8.3E-11,0.512,8.3E-11,0.311,9.65E-11
6.57146,11.78568,4.75716,0.51,8.3E-11,0.51,8.3E-11,0.31,9.65E-11
6.4286,11.78568,4.75716,0.506,8.25E-11,0.506,8.25E-11,0.308,9.65E-11
6.28574,11.78568,4.75716,0.503,8.2E-11,0.503,8.2E-11,0.306,9.65E-11
6.14288,11.78568,4.75716,0.5,8.2E-11,0.5,8.2E-11,0.302,9.65E-11
6.00002,11.78568,4.75716,0.5,8.2E-11,0.5,8.2E-11,0.297,9.65E-11
5.85716,11.78568,4.75716,0.496,8.25E-11,0.496,8.25E-11,0.288,9.65E-11
5.7143,11.78568,4.75716,0.492,8.3E-11,0.492,8.3E-11,0.285,9.65E-11
5.57144,11.78568,4.75716,0.49,8.3E-11,0.49,8.3E-11,0.279,9.65E-11
5.42858,11.78568,4.75716,0.486,8.3E-11,0.486,8.3E-11,0.272,9.65E-11
5.28572,11.78568,4.75716,0.484,8.2E-11,0.484,8.2E-11,0.268,9.65E-11
5.14286,11.78568,4.75716,0.549,8.1E-11,0.549,8.1E-11,0.177,9.6E-11
5,11.78568,4.75716,0.475,8.2E-11,0.475,8.2E-11,0.257,9.6E-11
7,11.42854,4.75716,0.518,8.3E-11,0.518,8.3E-11,0.325,9.65E-11
6.85718,11.42854,4.75716,0.516,8.3E-11,0.516,8.3E-11,0.321,9.65E-11
6.71432,11.42854,4.75716,0.514,8.3E-11,0.514,8.3E-11,0.32,9.65E-11
6.57146,11.42854,4.75716,0.511,8.2E-11,0.511,8.2E-11,0.318,9.65E-11
6.4286,11.42854,4.75716,0.508,8.2E-11,0.508,8.2E-11,0.311,9.65E-11
6.28574,11.42854,4.75716,0.505,8.25E-11,0.505,8.25E-11,0.309,9.65E-11
6.14288,11.42854,4.75716,0.503,8.25E-11,0.503,8.25E-11,0.301,9.65E-11
6.00002,11.42854,4.75716,0.499,8.3E-11,0.499,8.3E-11,0.298,9.65E-11
5.85716,11.42854,4.75716,0.498,8.3E-11,0.498,8.3E-11,0.292,9.65E-11
5.7143,11.42854,4.75716,0.494,8.3E-11,0.494,8.3E-11,0.286,9.65E-11
5.57144,11.42854,4.75716,0.49,8.3E-11,0.49,8.3E-11,0.284,9.65E-11
5.42858,11.42854,4.75716,0.488,8.3E-11,0.488,8.3E-11,0.276,9.65E-11
5.28572,11.42854,4.75716,0.484,8.3E-11,0.484,8.3E-11,0.272,9.65E-11
5.14286,11.42854,4.75716,0.481,8.3E-11,0.481,8.3E-11,0.268,9.65E-11
5,11.42854,4.75716,0.548,8.2E-11,0.548,8.2E-11,0.17,9.6E-11
7,11.0714,4.75716,0.521,8.3E-11,0.521,8.3E-11,0.33,9.65E-11
6.85718,11.0714,4.75716,0.519,8.3E-11,0.519,8.3E-11,0.328,9.65E-11
6.71432,11.0714,4.75716,0.516,8.3E-11,0.516,8.3E-11,0.324,9.65E-11
6.57146,11.0714,4.75716,0.513,8.3E-11,0.513,8.3E-11,0.319,9.65E-11
6.4286,11.0714,4.75716,0.511,8.3E-11,0.511,8.3E-11,0.316,9.65E-11
6.28574,11.0714,4.75716,0.508,8.3E-11,0.508,8.3E-11,0.313,9.65E-11
6.14288,11.0714,4.75716,0.504,8.3E-11,0.504,8.3E-11,0.304,9.65E-11
6.00002,11.0714,4.75716,0.502,8.3E-11,0.502,8.3E-11,0.3,9.65E-11
5.85716,11.0714,4.75716,0.498,8.3E-11,0.498,8.3E-11,0.295,9.65E-11
5.7143,11.0714,4.75716,0.496,8.3E-11,0.496,8.3E-11,0.291,9.65E-11
5.57144,11.0714,4.75716,0.492,8.3E-11,0.492,8.3E-11,0.286,9.65E-11
5.42858,11.0714,4.75716,0.49,8.3E-11,0.49,8.3E-11,0.283,9.65E-11
5.28572,11.0714,4.75716,0.558,8.2E-11,0.558,8.2E-11,0.186,9.6E-11
5.14286,11.0714,4.75716,0.483,8.35E-11,0.483,8.35E-11,0.277,9.65E-11
5,11.0714,4.75716,0.551,8.3E-11,0.551,8.3E-11,0.177,9.6E-11
7,10.71426,4.75716,0.521,8.35E-11,0.521,8.35E-11,0.337,9.65E-11
6.85718,10.71426,4.75716,0.517,8.3E-11,0.517,8.3E-11,0.332,9.65E-11
6.71432,10.71426,4.75716,0.516,8.3E-11,0.516,8.3E-11,0.329,9.65E-11
6.57146,10.71426,4.75716,0.513,8.4E-11,0.513,8.4E-11,0.324,9.65E-11
6.4286,10.71426,4.75716,0.511,8.4E-11,0.511,8.4E-11,0.319,9.65E-11
6.28574,10.71426,4.75716,0.51,8.4E-11,0.51,8.4E-11,0.313,9.65E-11
6.14288,10.71426,4.75716,0.505,8.4E-11,0.505,8.4E-11,0.308,9.65E-11
6.00002,10.71426,4.75716,0.502,8.35E-11,0.502,8.35E-11,0.303,9.65E-11
5.85716,10.71426,4.75716,0.499,8.3E-11,0.499,8.3E-11,0.298,9.65E-11
5.7143,10.71426,4.75716,0.498,8.3E-11,0.498,8.3E-11,0.294,9.65E-11
5.57144,10.71426,4.75716,0.494,8.35E-11,0.494,8.35E-11,0.293,9.65E-11
5.42858,10.71426,4.75716,0.491,8.35E-11,0.491,8.35E-11,0.287,9.65E-11
5.28572,10.71426,4.75716,0.486,8.35E-11,0.486,8.35E-11,0.285,9.65E-11
5.14286,10.71426,4.75716,0.484,8.4E-11,0.484,8.4E-11,0.282,9.65E-11
5,10.71426,4.75716,0.553,8.2E-11,0.553,8.2E-11,0.187,9.6E-11
7,10.35712,4.75716,0.521,8.4E-11,0.521,8.4E-11,0.343,9.65E-11
6.85718,10.35712,4.75716,0.519,8.4E-11,0.519,8.4E-11,0.337,9.65E-11
6.71432,10.35712,4.75716,0.518,8.35E-11,0.518,8.35E-11,0.331,9.65E-11
6.57146,10.35712,4.75716,0.515,8.35E-11,0.515,8.35E-11,0.325,9.65E-11
6.4286,10.35712,4.75716,0.511,8.35E-11,0.511,8.35E-11,0.319,9.65E-11
6.28574,10.35712,4.75716,0.51,8.3E-11,0.51,8.3E-11,0.316,9.65E-11
6.14288,10.35712,4.75716,0.507,8.35E-11,0.507,8.35E-11,0.311,9.65E-11
6.00002,10.35712,4.75716,0.504,8.4E-11,0.504,8.4E-11,0.307,9.65E-11
5.85716,10.35712,4.75716,0.5,8.4E-11,0.5,8.4E-11,0.303,9.65E-11
5.7143,10.35712,4.75716,0.498,8.4E-11,0.498,8.4E-11,0.301,9.65E-11
5.57144,10.35712,4.75716,0.494,8.4E-11,0.494,8.4E-11,0.297,9.65E-11
5.42858,10.35712,4.75716,0.492,8.45E-11,0.492,8.45E-11,0.297,9.65E-11
5.28572,10.35712,4.75716,0.487,8.4E-11,0.487,8.4E-11,0.294,9.65E-11
5.14286,10.35712,4.75716,0.56,8.25E-11,0.56,8.25E-11,0.194,9.6E-11
5,10.35712,4.75716,0.482,8.35E-11,0.482,8.35E-11,0.292,9.65E-11
7,9.99998,4.75716,0.523,8.4E-11,0.523,8.4E-11,0.344,9.65E-11
6.85718,9.99998,4.75716,0.52,8.4E-11,0.52,8.4E-11,0.336,9.65E-11
6.71432,9.99998,4.75716,0.518,8.4E-11,0.518,8.4E-11,0.331,9.65E-11
6.57146,9.99998,4.75716,0.515,8.4E-11,0.515,8.4E-11,0.328,9.65E-11
6.4286,9.99998,4.75716,0.514,8.4E-11,0.514,8.4E-11,0.326,9.65E-11
6.28574,9.99998,4.75716,0.51,8.4E-11,0.51,8.4E-11,0.318,9.65E-11
6.14288,9.99998,4.75716,0.508,8.4E-11,0.508,8.4E-11,0.315,9.65E-11
6.00002,9.99998,4.75716,0.504,8.4E-11,0.504,8.4E-11,0.314,9.65E-11
5.85716,9.99998,4.75716,0.5,8.5E-11,0.5,8.5E-11,0.31,9.65E-11
5.7143,9.99998,4.75716,0.499,8.5E-11,0.499,8.5E-11,0.306,9.65E-11
5.57144,9.99998,4.75716,0.495,8.4E-11,0.495,8.4E-11,0.306,9.65E-11
5.42858,9.99998,4.75716,0.568,8.35E-11,0.568,8.35E-11,0.208,9.6E-11
5.28572,9.99998,4.75716,0.488,8.4E-11,0.488,8.4E-11,0.302,9.65E-11
5.14286,9.99998,4.75716,0.562,8.3E-11,0.562,8.3E-11,0.206,9.6E-11
5,9.99998,4.75716,0.483,8.4E-11,0.483,8.4E-11,0.304,9.65E-11
7,9.64284,4.75716,0.525,8.5E-11,0.525,8.5E-11,0.343,9.65E-11
6.85718,9.64284,4.75716,0.522,8.45E-11,0.522,8.45E-11,0.341,9.65E-11
6.71432,9.64284,4.75716,0.519,8.5E-11,0.519,8.5E-11,0.334,9.65E-11
6.57146,9.64284,4.75716,0.517,8.5E-11,0.517,8.5E-11,0.331,9.65E-11
6.4286,9.64284,4.75716,0.514,8.5E-11,0.514,8.5E-11,0.329,9.65E-11
6.28574,9.64284,4.75716,0.511,8.45E-11,0.511,8.45E-11,0.325,9.65E-11
6.14288,9.64284,4.75716,0.508,8.4E-11,0.508,8.4E-11,0.324,9.65E-11
6.00002,9.64284,4.75716,0.504,8.4E-11,0.504,8.4E-11,0.319,9.65E-11
5.85716,9.64284,4.75716,0.503,8.4E-11,0.503,8.4E-11,0.317,9.65E-11
5.7143,9.64284,4.75716,0.5,8.5E-11,0.5,8.5E-11,0.318,9.65E-11
5.57144,9.64284,4.75716,0.497,8.5E-11,0.497,8.5E-11,0.316,9.65E-11
5.42858,9.64284,4.75716,0.493,8.45E-11,0.493,8.45E-11,0.314,9.7E-11
5.28572,9.64284,4.75716,0.491,8.4E-11,0.491,8.4E-11,0.314,9.65E-11
5.14286,9.64284,4.75716,0.563,8.3E-11,0.563,8.3E-11,0.222,9.6E-11
5,9.64284,4.75716,0.484,8.45E-11,0.484,8.45E-11,0.319,9.65E-11
7,9.2857,4.75716,0.524,8.4E-11,0.524,8.4E-11,0.347,9.65E-11
6.85718,9.2857,4.75716,0.522,8.4E-11,0.522,8.4E-11,0.342,9.65E-11
6.71432,9.2857,4.75716,0.519,8.45E-11,0.519,8.45E-11,0.338,9.65E-11
6.57146,9.2857,4.75716,0.517,8.5E-11,0.517,8.5E-11,0.337,9.65E-11
6.4286,9.2857,4.75716,0.514,8.5E-11,0.514,8.5E-11,0.336,9.7E-11
6.28574,9.2857,4.75716,0.511,8.5E-11,0.511,8.5E-11,0.332,9.7E-11
